SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
BA08 011 5902 US,STIHL BGA30 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 30,119.99,Battery,Tool, ,0,0,T,,,,,,,,36,,Handheld Blower,AS,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,3.4, ,3.4,lb.,Max. Voltage,12 Volts,,,,,Max. Air Velocity,96 mph,Air Volume,253 cfm,Blowing Force,5 Newtons,Sound Level,50 dB(A),,,,,,,,,,,
BA08 011 5912 US,STIHL BGA30 w/2 - AS2 Batteries & AL1 Charger,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 30,189.99,Battery,Kit, ,0,0,T,,,,,,,,37,,Handheld Blower,AS,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,3.4, ,3.4,lb.,Max. Voltage,12 Volts, ,, ,,Max. Air Velocity,96 mph,Air Volume,253 cfm,Blowing Force,5 Newtons,Sound Level,50 dB(A),,,,,,,,,,,
BA05 011 5901 US,STIHL BGA50.0 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 50,179.99,Battery,Tool, ,0,0,T,,,,,,,,38,,Handheld Blower,AK,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,4.9, ,4.9,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,123 mph,Air Volume,455 cfm,Blowing Force,11 Newtons,Sound Level,55 dB(A),,,,,,,,,,,
BA05 011 5919 US,STIHL BGA50.0 w/AK20 Battery & AL101 Charger,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 50,199.99,Battery,Kit, ,0,0,T,,,,,,,,39,,Handheld Blower,AK,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,4.9, ,4.9,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,123 mph,Air Volume,455 cfm,Blowing Force,11 Newtons,Sound Level,55 dB(A),,,,,,,,,,,
4523 011 5961 US,STIHL BGA57 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 57,179.99,Battery,Tool, ,1,1,T,,,,,,,,40,,Handheld Blower,AK,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.1, ,5.1,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,123 mph,Air Volume,365 cfm,Blowing Force,9 Newtons,Sound Level,57 dB(A),,,,,,,,,,,
BA04 011 5901 US,STIHL BGA60 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 60,219.99,Battery,Tool, ,1,1,T,,,,,,,,42,,Handheld Blower,AK,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.1, ,5.1,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,155 mph,Air Volume,459 cfm,Blowing Force,15 Newtons,Sound Level,56 dB(A),,,,,,,,,,,
BA04 011 5941 US,STIHL BGA60 w/AK30 Battery & AL101 Charger,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 60,299.99,Battery,Kit,STIHL BGA60 Fall Leaf Blower Sale,1,1,T,,,,2026-12-31,269.99,2026-08-01,,43,,Handheld Blower,AK,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.1, ,5.1,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,155 mph,Air Volume,459 cfm,Blowing Force,15 Newtons,Sound Level,56 dB(A),,,,,,,,,,,
BA02 011 5901 US,STIHL BGA86 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 86,249.99,Battery,Tool, ,1,1,T,,,,,,,,44,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,6.2, ,6.2,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,154 mph,Air Volume,458 cfm,Blowing Force,15 Newtons,Sound Level,58 dB(A),,,,,,,,,,,
BA02 211 0000 US,STIHL BGA86 w/AP300S Battery & AL301,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 86,609.99,Battery,Kit, ,1,1,T,,,,,,,,45,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,6.2, ,6.2,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,154 mph,Air Volume,458 cfm,Blowing Force,15 Newtons,Sound Level,58 dB(A),,,,,,,,,,,
BA02 200 0010,STIHL BGA86 w/AP300S Battery & AL301,F,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 86,689.99,Battery,Kit, ,1,1,T,,,,,,,,46,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,6.2, ,6.2,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,154 mph,Air Volume,458 cfm,Blowing Force,15 Newtons,Sound Level,58 dB(A),,,,,,,,,,,
4866 011 5901 US,STIHL BGA100 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 100,479.99,Battery,Tool, ,0,0,T,,,,,,,,47,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.5, ,5.5,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,167 MPH,Air Volume,484 cfm,Blowing Force,17 Newtons,Sound Level,56 dB(A),,,,,,,,,,,
BA09 011 5901 US,STIHL BGA160 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 160,269.99,Battery,Tool, ,0,1,T,,,,,,,,48,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.8, ,5.8,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,174 mph,Air Volume,570 cfm,Blowing Force,21 Newtons,Sound Level,57 dB(A),,,,,,,,,,,
BA09 011 5910 US,STIHL BGA160 w/AP300S Battery & AL301,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 160,649.99,Battery,Kit, ,0,1,T,,,,,,,,49,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.8, ,5.8,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,174 mph,Air Volume,570 cfm,Blowing Force,21 Newtons,Sound Level,57 dB(A),,,,,,,,,,,
BA01 011 5901 US,STIHL BGA200 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 200,559.99,Battery,Tool, ,0,0,T,,,,,,,,50,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,7.1, ,7.1,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,188 mph,Air Volume,553 cfm,Blowing Force,21 Newtons,Sound Level,60 dB(A),,,,,,,,,,,
BA06 011 5901 US,STIHL BGA250 Hand-Held Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 250,329.99,Battery,Tool, ,0,0,T,,,,,,,,51,,Handheld Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,5.9, ,5.9,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,190 mph,Air Volume,612 cfm,Blowing Force,26 Newtons,Sound Level,59 dB(A),,,,,,,,,,,
BA03 011 5911 US,STIHL BGA300.1 Back-Pack Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BGA 300,749.99,Battery,Tool, ,0,0,T,,,,,,,,53,,Backpack Blower,AP,T,,,,,,,,,,,,,,5-Year Residential Use,3-Year Professional Use,15.4, ,15.4,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,192 mph,Air Volume,571 cfm,Blowing Force,26 Newtons,Sound Level,62 dB(A),,,,,,,,,,,
BA11 011 5901 US,STIHL BRA200.0 Back-Pack Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BRA 200,479.99,Battery,Tool, ,0,0,T,,,,,,,,56,,Backpack Blower,AP,T,,,,,,,,,,,,,,,,15.2, ,15.2,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,177 mph,Air Volume,527 cfm,Blowing Force,21 Newtons,Sound Level,64 dB(A),,,,,,,,,,,
BA11 011 5931 US,STIHL BRA200.0 w/AP300S Battery & AL301,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BRA 200,729.99,Battery,Kit, ,0,0,T,,,,,,,,57,,Backpack Blower,AP,T,,,,,,,,,,,,,,,,15.2, ,15.2,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,177 mph,Air Volume,527 cfm,Blowing Force,21 Newtons,Sound Level,64 dB(A),,,,,,,,,,,
BA11 011 5921 US,STIHL BRA280.0-B Back-Pack Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BRA 280,649.99,Battery,Tool, ,0,0,T,,,,,,,,58,,Backpack Blower,AP,T,,,,,,,,,,,,,,,,15.7, ,15.7,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,192 mph,Air Volume,571 cfm,Blowing Force,26 Newtons,Sound Level,65 dB(A),,,,,,,,,,,
BA11 011 5951 US,STIHL BRA280.0-B w/2 AP300S Batteries & AL301,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BRA 280,999.99,Battery,Kit, ,0,0,T,,,,,,,,59,,Backpack Blower,AP,T,,,,,,,,,,,,,,,,15.7, ,15.7,lb.,Max. Voltage,40 Volts, ,, ,,Max. Air Velocity,192 mph,Air Volume,571 cfm,Blowing Force,26 Newtons,Sound Level,65 dB(A),,,,,,,,,,,
BA07 011 5901 US,STIHL BRA500.0 Back-Pack Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BRA 500,1019.99,Battery,Tool, ,0,0,T,,,,,,,,61,,Backpack Blower,AP,T,,,,,,,,,,,,,,,,22.4, ,22.4,lb.,Max. Voltage,80 Volts, ,, ,,Max. Air Velocity,244 mph,Air Volume,848 cfm,Blowing Force,32 Newtons,Sound Level,64 dB(A),,,,,,,,,,,
BA07 011 5911 US,STIHL BRA600.0 Back-Pack Blower,T,0,T,0,STIHL,Blowers,HANDHELD,T,T,T,Handheld,F,BRA 600,1069.99,Battery,Tool, ,0,0,T,,,,,,,,62,,Backpack Blower,AP,T,,,,,,,,,,,,,,,,22.4, ,22.4,lb.,Max. Voltage,80 Volts, , , ,,Max. Air Velocity,253 mph,Air Volume,883 cfm,Blowing Force,35 Newtons,Sound Level,64 dB(A),,,,,,,,,,,
FA10 011 5701 US,STIHL FSA30.0 Trimmer ,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 30,119.99,Battery,Tool, ,0,0,T,,,,,,,,74,,String Trimmer,AS,T,,,,,,,,,,,,,,,,4.6, ,4.6,lb.,Max. Voltage,12 Volts,Mechanical Power,0.13 kW,,,,,,,,, ,,,,,,,,,,,,
FA10 011 5711 US,STIHL FSA30.0 w/AS2 Battery & AL1 Charger,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 30,189.99,Battery,Kit, ,0,0,T,,,,,,,,75,,String Trimmer,AS,T,,,,,,,,,,,,,,,,4.6, ,4.6,lb.,Max. Voltage,12 Volts,Mechanical Power,0.13 kW,,,,,,,,,,,,,,,,,,,,,
FA11 011 5711 US,STIHL FSA50.0 w/AK10 Battery & AL101 Charger,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 50,219.99,Battery,Kit, ,0,0,T,,,,,,,,77,,String Trimmer,AK,T,,,,,,,,,,,,,,,,6.4, ,6.4,lb.,Max. Voltage,40 Volts,Mechanical Power,0.3 kW,,,,,,,,,,,,,,,,,,,,,
FA04 011 5701 US,STIHL FSA60R Trimmer,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 60 R,159.99,Battery,Tool, ,1,1,T,,,,,,,,81,,String Trimmer,AK,T,,,,,,,,,,,,,,,,6.9, ,6.9,lb.,Max. Voltage,40 Volts,Mechanical Power,0.5 kW,,,,,,,,,,,,,,,,,,,,,
FA04 011 5741 US,STIHL FSA60R w/AK20 Battery & AL101 Charger,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 60 R,249.99,Battery,Kit, ,1,1,T,,,,,,,,82,,String Trimmer,AK,T,,,,,,,,,,,,,,,,6.9, ,6.9,lb.,Max. Voltage,40 Volts,Mechanical Power,0.5 kW,,,,,,,,,,,,,,,,,,,,,
4852 011 5702 US,STIHL FSA65 Trimmer,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 65,209.95,Battery,Tool, ,0,0,T,,,,,,,,83,,String Trimmer,AP,T,,,,,,,,,,,,,,,, , , ,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
FA07 011 5701 US,STIHL FSA70.0R Trimmer,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 70 R,239.99,Battery,Tool, ,1,0,T,,,,,,,,84,,String Trimmer,AK,T,,,,,,,,,,,,,,,,7.1, ,7.1,lb.,Max. Voltage,40 Volts,Mechanical Power,0.8 kW,,,,,,,,,,,,,,,,,,,,,
FA07 011 5711 US,STIHL FSA70.0R w/AK20 Battery & AL101,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 70 R,329.99,Battery,Kit, ,1,0,T,,,,,,,,85,,String Trimmer,AK,T,,,,,,,,,,,,,,,,7.1, ,7.1,lb.,Max. Voltage,40 Volts,Mechanical Power,0.8 kW,,,,,,,,,,,,,,,,,,,,,
FA08 011 5721 US,STIHL FSA80.0R Trimmer,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 80 R,389.99,Battery,Tool, ,0,1,T,,,,,,,,86,,String Trimmer,AK,T,,,,,,,,,,,,,,,,9, ,9,lb.,Max. Voltage,40 Volts,Mechanical Power,0.8 kW,,,,,,,,,,,,,,,,,,,,,
FA08 011 5731 US,STIHL FSA80.0R w/AK20 Battery & AL101,T,0,T,0,STIHL,Trimmers,HANDHELD,T,T,T,Handheld,F,FSA 80 R,469.99,Battery,Kit, ,0,1,T,,,,,,,,87,,String Trimmer,AK,T,,,,,,,,,,,,,,,,9, ,9,lb.,Max. Voltage,40 Volts,Mechanical Power,0.8 kW,,,,,,,,,,,,,,,,,,,,,
